BOARDID;TRADEDATE;SHORTNAME;SECID;NUMTRADES;VALUE;LOW;HIGH;CLOSE;LEGALCLOSEPRICE;ACCINT;WAPRICE;YIELDCLOSE;OPEN;VOLUME;MARKETPRICE2;MARKETPRICE3;ADMITTEDQUOTE;MP2VALTRD;MARKETPRICE3TRADESVALUE;ADMITTEDVALUE;MATDATE;DURATION;YIELDATWAP;IRICPICLOSE;BEICLOSE;COUPONPERCENT;COUPONVALUE;BUYBACKDATE;LASTTRADEDATE;FACEVALUE;CURRENCYID;CBRCLOSE;YIELDTOOFFER;YIELDLASTCOUPON;OFFERDATE;FACEUNIT;TRADINGSESSION
TQCB;2021-09-03;ВЭБлизинг9;RU000A0JRV52;14;172439.8;100.0;107.1;100.1;100.1;26.82;100.26;6.42;107.1;172;;100.08;100.1;0.0;3132510.4;0.0;2021-10-20;47.0;5.05;;;7.25;36.15;;2021-09-03;1000.0;SUR;;;5.8448;;RUB;3
TQCB;2021-09-03;РСХБ 15;RU000A0JRVN8;7;290974.0;99.95;100.0;99.95;99.95;24.74;99.99;7.41;100.0;291;100.07;100.07;99.95;1113785.2;905595.6;1113785.2;2021-10-26;53.0;7.1;;;7.0;34.9;;2021-09-03;1000.0;SUR;;;6.7738;;RUB;3
TQCB;2021-09-03;СПбТел 07;RU000A0JRVU3;154;1509498.8;101.22;101.75;101.42;101.42;40.89;101.44;7.51;101.22;1488;101.44;101.44;101.42;1509498.8;1509498.8;1509498.8;2022-04-05;205.0;7.47;;;9.95;49.61;;2021-09-03;1000.0;SUR;;;;;RUB;3
TQCB;2021-09-03;ОткрФКББ03;RU000A0JRZ74;0;0.0;;;;73.33;0.01;;7.82;;0;;74.37;73.33;0.0;2704185.1;0.0;2025-07-16;1412.0;;;;0.01;0.05;;2021-08-31;1000.0;SUR;;;;;RUB;3
TQCB;2021-09-03;Промсвб3;RU000A0JS1F5;0;0.0;;;;99.75;10.48;;5.54;;0;;;99.75;0.0;0.0;0.0;2021-12-09;;;;;4.5;22.44;;2021-07-26;1000.0;SUR;;;;;RUB;3
TQCB;2021-09-03;ТГК-1 03;RU000A0JS1W0;0;0.0;;;;100.0;14.03;;6.46;;0;;;100.0;0.0;0.0;0.0;2021-12-14;;;;;6.4;31.91;;;1000.0;SUR;;;;;RUB;3
TQRD;2021-09-03;ОткрХОЛ 2;RU000A0JS264;8;1646.9;3.05;4.99;4.99;4.99;;3.36;;3.5;49;;;4.99;0.0;0.0;0.0;2026-12-10;;;;;0.01;0.05;;2021-09-03;1000.0;SUR;;;;;RUB;3
TQCB;2021-09-03;СПбТел 05;RU000A0JS3L9;1;6078.6;101.31;101.31;101.31;101.31;9.38;101.31;7.44;101.31;6;;101.43;101.31;0.0;667406.0;0.0;2022-01-31;150.0;7.44;;;10.7;53.35;;2021-09-03;1000.0;SUR;;;7.131;;RUB;3
TQCB;2021-09-03;СПбТел 04;RU000A0JS3M7;9;390396.4;99.32;99.5;99.33;99.33;5.0;99.34;7.53;99.5;393;;99.41;99.33;0.0;633251.4;0.0;2022-01-31;150.0;7.51;;;5.7;28.42;;2021-09-03;1000.0;SUR;;;7.2237;;RUB;3
TQCB;2021-09-03;Башнефть04;RU000A0JS3U0;0;0.0;;;;100.45;5.37;;5.95;;0;100.22;100.23;100.45;526166.4;524203.6;526166.4;2022-02-04;154.0;;;;7.0;34.9;;2021-09-02;1000.0;SUR;;;;;RUB;3
